DC_ID,Node1,Node2,EPANET,Diameter,Length,Roughness,Minorloss,Status,Material,Zone,DateMapped,Dia_Inch,Network,Inst_Date,ServiceSta,Remarks,Ext_Overha,Nodel1,Nodel2,Dia_DN,Dia Inch,FID,layer,path
46.1842698,,,Y,225,46.184,0,0.1,OPEN,AC,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
25.3397818,,,N,225,25.340,0,0.1,OPEN,Steel,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
16.3055095,,,N,225,16.306,0,0.1,OPEN,Steel,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
5.30035111,,,Y,150,5.300,0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
4.87675643,,,Y,150,4.877,0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
5.44465875,,,Y,150,5.445,0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
6.79975733,,,N,150,6.800,0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
213.191502,,,Y,75,213.192,0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,To verify the point of material change.,Yes,,,,,,,
170.440470,,,Y,100,170.440,0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
167.768122,,,Y,150,167.768,0,0.1,OPEN,PVC,ME,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
1348.39446,,,Y,100,1348.394,0,0.1,OPEN,PVC,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
6.79909908,,,Y,100,6.799,0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
883.561494,,,Y,225,883.561,0,0.1,OPEN,PVC,CBD,2014,9.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
217.774703,,,Y,100,217.775,0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
154.410375,,,Y,100,154.410,0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
217.314938,,,Y,32,217.315,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
72.1081212,,,Y,32,72.108,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
73.3721394,,,Y,32,73.372,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
10.9774244,,,Y,32,10.977,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
44.4097975,,,Y,32,44.410,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
51.2848154,,,Y,32,51.285,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
49.0612606,,,Y,40,49.061,0,0.1,OPEN,GI,MYT,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
83.2191375,,,Y,32,83.219,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
47.2757783,,,Y,32,47.276,0,0.1,OPEN,GI,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
386.749196,,,Y,100,386.749,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from 8 inch line,No,,,,,,,
255.269042,,,Y,40,255.269,0,0.1,OPEN,PVC,MYT,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
