DC_ID,Node1,Node2,EPANET,Diameter,Length,Roughness,Minorloss,Status,Material,Zone,DateMapped,Dia_Inch,Network,Inst_Date,ServiceSta,Remarks,Ext_Overha,Category,Sength
,,,,25,313.171,0.0,0.1,OPEN,PPR,CBD,29.04.2024,1.00,Distribution Main,,In service,EXT,,Minor,313.16
,,,,25,452.302,0.0,0.1,OPEN,PPR,CBD,29.04.2024,1.00,Distribution Main,,In service,Ok,,Minor,452.28
578.267046,,,Y,75,578.267,0.0,0.1,CLOSED,PVC,KREKAJ,10.2016,3.00,Distribution Main,2016,Still pending,OK,No,Major,578.22
342.000404,,,Y,50,335.339,0.0,0.1,CLOSED,PVC,KREKAJ,10.2016,2.00,Distribution Main,2016,Still pending,ok,No,Minor,335.31
114.394614,,,Y,75,114.395,0.0,0.1,CLOSED,PVC,KREKAJ,10.2016,3.00,Distribution Main,2016,Still pending,Ok,No,Major,114.38
194.477605,,,Y,50,194.478,0.0,0.1,CLOSED,PVC,KREKAJ,10.2016,2.00,Distribution Main,2016,Still pending,Ok,No,Minor,194.46
123.299881,,,Y,100,123.300,0.0,0.1,OPEN,PVC,MYT,07.2015,4.00,Distribution Main,2014,In Service,,No,Major,123.29
141.115538,,,Y,32,141.116,0.0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,Minor,141.10
422.667058,,,Y,32,422.667,0.0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,Minor,422.63
23.4329962,,,Y,50,23.433,0.0,0.1,OPEN,PVC,MYT,03.2017,2.00,Distribution Main,,In Service,Ok,No,Minor,23.43
127.695942,,,Y,32,127.696,0.0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,Minor,127.68
136.640697,,,Y,50,136.641,0.0,0.1,OPEN,PVC,MYT,09.2016,2.00,Distribution Main,09.2016,In Service,,No,Minor,136.63
128.132094,,,Y,32,128.132,0.0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,Minor,128.12
262.644678,,,Y,50,262.645,0.0,0.1,OPEN,PVC,MYT,03.2017,2.00,Distribution Main,,In Service,Laid by the community,No,Minor,262.62
104.852262,,,Y,32,104.852,0.0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,Minor,104.84
910.393470,,,Y,40,910.393,0.0,0.1,OPEN,PVC,MYT,03.2017,1.50,Distribution Main,2016,In Service,Serves Wamalanda Kiosk,No,Minor,910.31
196.518498,,,Y,100,196.518,0.0,0.1,OPEN,PVC,MYT,10.2015,4.00,Distribution Main,N/A,In Service,N/A,No,Major,196.50
767.233705,,,Y,100,767.234,0.0,0.1,OPEN,PVC,MYT,03.2017,4.00,Distribution Main,2014,In Service,LTAP,No,Major,767.17
803.507024,,,Y,100,803.507,0.0,0.1,OPEN,PVC,MYT,03.2017,4.00,Distribution Main,1978,In Service,Ok,No,Major,803.44
